stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8210CO11140,113961,Chapelstown,,52.82797,-6.899742,,,,
8210CO11143,111431,Chapelstown,,52.827806,-6.899493,,,,
8210CO11145,112031,Tullow Road,,52.8311908061556,-6.90687257180522,,,,
8210CO11146,113931,Ashgrove,,52.830639,-6.912407,,,,
8210CO11147,113941,Mount Leinster Park,,52.833066,-6.9134,,,,
8210CO11148,111461,Askea,,52.835257,-6.911193,,,,
8210CO11149,111601,Castlewood Gardens,,52.838257,-6.911979,,,,
8210CO11151,113131,Pollerton Road,,52.836699,-6.919424,,,,
8210CO11154,111821,Kennedy Avenue,,52.835423,-6.931463,,,,
8210CO11155,111861,Carlow Castle,,52.836651,-6.936064,,,,
8210CO11156,111871,Maryborough Street,,52.8378666532649,-6.93830508322329,,,,
8210CO11157,111881,Sleaty Street,,52.839859,-6.938004,,,,
8210CO11159,202001,Barrow Valley,,52.84543,-6.94105,,,,
8210CO11444,111421,The Orchards,,52.8301367021632,-6.90367873188434,,,,
8210IR0001,0,Muine Bheag (Bagenalstown),,52.69918,-6.952653,,,,
8210IR0002,0,Carlow,,52.840788,-6.922622,,,,
8210LL10438,10438,Rathtoe,,52.7879643609432,-6.8005729956684,,,,
8210LL10441,0,The Parade,,52.70362,-6.95586,,,,
8210LL10442,0,Bagenalstown,,52.70028,-6.9571,,,,
8210LL10443,0,Kilgraney,,52.654514,-6.951764,,,,
8210LL10444,12022,Woodlawn Park,,52.603197,-6.935941,,,,
8210LL10445,13625,Borris,,52.599551,-6.922673,,,,
8210LL10446,0,Coolnamara,,52.55124,-6.91198,,,,
8210LL10447,0,Glynn,,52.50309,-6.90608,,,,
8210LL10448,0,Saint Mullin's,,52.490401,-6.929692,,,,
8210LL10449,0,Drummond,,52.47243,-6.90185,,,,
8210LL10450,0,Coolnamara,,52.55132,-6.91207,,,,
8210LL10451,0,Bagenalstown,,52.70022,-6.9572096,,,,
8210LL10452,0,The Parade,,52.703244,-6.956228,,,,
8210LL10874,10874,Tinryland,,52.804467,-6.889226,,,,
8210LL12004,12204,Woodlawn Park,,52.60327,-6.93584,,,,
8210PB000012,13626,Borris,,52.6001859125554,-6.92398459557205,,,,
8210PB000017,11721,Carlow Bus Station,,52.833629,-6.926862,,,,
8220000002,13609,Sheriff Street Upper,,53.349883,-6.230232,,,,
8220000003,13019,Ferry Terminal 2,,53.35,-6.19725,,,,
8220000005,13610,Park West Road,,53.332343,-6.363435,,,,
8220000107,13611,O Connell Street,,53.3510291485034,-6.26051291930063,,,,
8220000150,13020,Abbey Street,,53.348562,-6.258961,,,,
8220000357,0,George's Quay,,53.3473721445556,-6.25259588973843,,,,
8220000372,13612,East Wall Road,,53.350791,-6.226003,,,,
8220000386,13613,Schoolhouse Hotel,,53.3372305636195,-6.23955550217558,,,,
8220000413,0,The Gresham Hotel,,53.3517236557729,-6.26129581880893,,,,
8220000414,0,The Gresham Hotel,,53.351482883111,-6.26080990001759,,,,
8220000441,13618,Cumberland Street North,,53.353699,-6.258169,,,,
822008203,8203,Visitor Centre,,53.36469,-6.33167,,,,
822008204,8204,Áras an Uachtaráin,,53.35938,-6.32384,,,,
822008205,8205,Dublin Zoo,,53.35173,-6.30548,,,,
822008206,8206,Park Gates,,53.34884,-6.29777,,,,
822008208,8208,Park Gates,,53.348995,-6.298737,,,,
822008209,8209,Dublin Zoo,,53.35169,-6.3057,,,,
822008210,8210,Áras an Uachtaráin,,53.358951,-6.32316,,,,
8220B007612,7612,Merrion Square,,53.341460253444,-6.25029956027018,,,,
8220B1000401,100041,Clare Street,,53.341434,-6.251562,,,,
8220B100111,100111,Westland Row,,53.343163,-6.249959,,,,
8220B100351,100351,Merrion Square North,,53.3409427335809,-6.24994529768875,,,,
8220B100461,100461,Merrion Road,,53.3283555138789,-6.22837542799152,,,,
8220B1009001,100901,St Margaret's Road,,53.4001982314926,-6.30834665852557,,,,
8220B1011301,101131,North Road,,53.40014650036,-6.30786746825518,,,,
8220B1011501,101151,Glasnevin,,53.369942933041,-6.27806175078419,,,,
8220B1021101,102111,Bachelors Walk,,53.346833,-6.262471,,,,
8220B1046101,104611,Merrion Row,,53.3385331896343,-6.25480444135106,,,,
8220B106421,106421,3Arena,,53.346899,-6.229431,,,,
8220B10995,10995,Heuston Station,,53.3458575428185,-6.29388714847594,,,,
8220B111761,111761,Westland Row Church,,53.342626,-6.250132,,,,
8220B111771,111771,Irish Life,,53.349115135278,-6.25561891627054,,,,
8220B134961,134961,Dublin Busáras,,53.3499127208186,-6.25238682003711,,,,
8220B135001,135001,Dublin Busáras,,53.34981,-6.25203,,,,
8220B1350301,135031,Beresford Place,,53.3487549295197,-6.25495768638166,,,,
8220B1351001,135101,Wellington Quay,,53.3458641751298,-6.26381729294171,,,,
8220B1351101,135111,George's Quay,,53.3473922763854,-6.25212943474867,,,,
8220B1351201,135121,Connolly Station,,53.3502180212919,-6.25052670165242,,,,
8220B1351401,135141,George's Quay,,53.347377,-6.252222,,,,
8220B1352701,135271,Custom House Quay,,53.348359,-6.253712,,,,
8220B1353101,135311,Wilton Terrace,,53.333451,-6.249021,,,,
8220B1353301,135331,Dawson Street,,53.340134371715,-6.25858361137312,,,,
8220B1353501,135351,Eden Quay,,53.3477999659065,-6.25849647173381,,,,
8220B1354001,135401,Heuston Station,,53.346033,-6.292647,,,,
8220B135411,135411,Wilton Terrace,,53.333421,-6.249085,,,,
8220B1354201,135421,Heuston Station,,53.346197,-6.292462,,,,
8220B211521,211521,Merrion Square West,,53.3409101463996,-6.25078764576979,,,,
8220B3551501,355151,Vincent's Hospital,,53.3173579970596,-6.21598254819272,,,,
8220CO10995,0,Heuston Station,,53.3458575428185,-6.29388714847594,,,,
8220CO10996,10996,Parkgate Street,,53.347888,-6.290712,,,,
8220DB000002,2,Parnell Square West,,53.3522443611383,-6.26372321891887,,,,
8220DB000003,3,Parnell Square West,,53.352309,-6.263811,,,,
8220DB000004,4,Parnell Square West,,53.352574513185,-6.26417548603797,,,,
8220DB000005,5,Parnell Square West,,53.3525736395204,-6.26411543286632,,,,
8220DB000006,6,Parnell Square West,,53.3527493357046,-6.26445380396434,,,,
8220DB000007,7,Parnell Square West,,53.352841,-6.26457,,,,
8220DB000008,8,Parnell Square West,,53.353272,-6.265184,,,,
8220DB000010,10,Parnell Square West,,53.3533921036473,-6.26538912389954,,,,
8220DB000011,11,St Joseph's Parade,,53.3568152335295,-6.26467919507526,,,,
8220DB000012,12,Dorset Street Upper,,53.357107,-6.264382,,,,
8220DB000014,14,Eccles Place,,53.358531,-6.262777,,,,
8220DB000015,15,Dorset Street Lower,,53.360267,-6.260978,,,,
8220DB000016,16,John Paul Park,,53.36644,-6.30565,,,,
8220DB000017,17,Drumcondra Station,,53.363078,-6.258399,,,,
8220DB000018,18,Archbishop's House,,53.365856,-6.255957,,,,
8220DB000019,19,Botanic Avenue,,53.367235,-6.2556,,,,
8220DB000021,21,Drumcondra Village,,53.370101,-6.254311,,,,
